CODE,LAND_USE_DESCRIPTION,LUCODE,OBJECTID
110,SINGLE FAMILY,Single Family,0
114,DUPLEX/TOWNHOME,Duplex/Townhome,1
115,MULTIPLE RES UNITS,Multi-Family,2
119,CONDOMINIUMS,Multi-Family,3
121,"ROOMING, BOARDING HOUSE",Multi-Family,4
122,"SORORITY, FRATERNITY HOUSE",Multi-Family,5
123,"NURSES' HOMES, DORMITORY",Multi-Family,6
124,"ORPHANAGES, RETIREMENT HOME",Multi-Family,7
125,RELIGIOUS RESIDENCES,Multi-Family,8
130,HOTEL (RESIDENTIAL),Multi-Family,9
140,MOBILE HOME PARKS,Multi-Family,10
151,HOTEL (TRANSIENT),Commercial,11
190,VACANT,Vacant/Agriculture,12
211,MEAT PRODUCTS MFG.,Industrial/Utility,13
212,DAIRY PRODUCTS MFG.,Industrial/Utility,14
213,CANNING/PRESERVING FOODS,Industrial/Utility,15
214,GRAIN MILL PRODUCTS MFG.,Industrial/Utility,16
215,BAKERY PRODUCTS MFG.,Industrial/Utility,17
217,CANDY/CONFECTIONERY MFG.,Industrial/Utility,18
218,"BEVERAGES,SYRUPS MFG.",Industrial/Utility,19
219,OTHER FOOD MFG.,Industrial/Utility,20
229,OTHER TEXTILE GOODS MFG.,Industrial/Utility,21
236,LEATHER PRODUCTS MFG.,Industrial/Utility,22
239,OTHER FABRICATED TEXTILES MFG.,Industrial/Utility,23
242,SAWMILLS/PLANING MILLS,Industrial/Utility,24
243,PREFAB WOOD PRODUCTS MFG.,Industrial/Utility,25
262,PAPER MFG.,Industrial/Utility,26
271,"PUBLISHING, NEWSPAPERS",Industrial/Utility,27
272,"PUBLISHING, PERIODICALS",Industrial/Utility,28
273,"PUBLISHING, BOOKS",Industrial/Utility,29
274,"PRINTING, COMMERCIAL",Industrial/Utility,30
276,GREETING CARDS MFG.,Industrial/Utility,31
282,PLASTIC/SYNTHETIC RESINS MFG.,Industrial/Utility,32
283,DRUGS/MEDICINES MFG.,Industrial/Utility,33
284,"SOAP, PERFUMES, DETERGENTS, COSMETIC",Industrial/Utility,34
285,PAINTS/ALLIED PRODUCTS MFG.,Industrial/Utility,35
289,OTHER CHEMICALS MFG.,Industrial/Utility,36
292,ASPHALT PRODUCTS MFG.,Industrial/Utility,37
311,TIRE MFG.,Industrial/Utility,38
322,GLASS & GLASSWARE MFG.,Industrial/Utility,39
323,CEMENT MFG.,Industrial/Utility,40
324,STRUCTURAL CLAY PRODUCTS MFG.,Industrial/Utility,41
325,"VITREOUS CHINA, POTTERY MFG.",Industrial/Utility,42
326,CONCRETE/GYPSUM/PLASTER PRODUCTS MFG,Industrial/Utility,43
327,STONE PRODUCTS MFG.,Industrial/Utility,44
331,STEEL MFG.,Industrial/Utility,45
341,ORDNANCE MFG.,Industrial/Utility,46
342,MACHINERY (EXCEPT ELECTRIC) MFG.,Industrial/Utility,47
343,ELECTRIC MACHINERY/EQUIPMENT MFG.,Industrial/Utility,48
344,TRANSPORTATION EQUIPMENT MFG.,Industrial/Utility,49
349,OTHER FABRICATED METAL PRODUCTS MFG.,Industrial/Utility,50
351,ENGINEERING/LABORATORY EQUIPMENT MFG,Industrial/Utility,51
352,MEASURING/CONTROLLING EQUIPMENT MFG.,Industrial/Utility,52
353,OPTICALINSTRUMENTS MFG.,Industrial/Utility,53
354,MEDICAL EQUIPMENT/SUPPLIES MFG.,Industrial/Utility,54
356,PHOTOGRAPHIC EQUIPMENT/SUPPLIES MFG.,Industrial/Utility,55
383,DANCING SCHOOL,Commercial,56
391,"JEWELRY/SILVERWARE, JEWELRY",Industrial/Utility,57
392,MUSICAL INSTRUMENTS MFG.,Industrial/Utility,58
393,"SPORTING GOODS, TOYS MFG.",Industrial/Utility,59
394,"PENS/PENCILS, ART SUPPLIES MFG.",Industrial/Utility,60
397,MOTION PICTURE PRODUCTION,Industrial/Utility,61
399,OTHER MISCELLANEOUS MFG.,Industrial/Utility,62
411,RAILROAD TRANSPORTATION,Industrial/Utility,63
421,BUS TERMINAL/GARAGE,Industrial/Utility,64
422,MOTOR FREIGHT TRANSPORTATION,Industrial/Utility,65
429,OTHER MOTOR VEHICLE TRANSPORTATION,Industrial/Utility,66
431,AIRPORTS,Industrial/Utility,67
454,ARTERIAL STREETS,Industrial/Utility,68
457,ALLEYS,Industrial/Utility,69
460,AUTOMOBILE PARKING LOT/GARAGE,Industrial/Utility,70
471,TELEPHONE COMMUNICATION,Industrial/Utility,71
472,TELEGRAPH COMMUNICATION,Industrial/Utility,72
473,RADIO COMMUNICATION,Industrial/Utility,73
474,TELEVISION COMMUNICATION,Industrial/Utility,74
481,ELECTRIC UTILITY,Industrial/Utility,75
482,GAS UTILITY,Industrial/Utility,76
483,WATER UTILITY,Industrial/Utility,77
484,SEWAGE DISPOSAL,Industrial/Utility,78
485,SOLID WASTE DISPOSAL,Industrial/Utility,79
491,PIPELINE (OIL) R.O.W.,Industrial/Utility,80
492,TRANSPORTATION/FREIGHT SERVICES,Commercial,81
501,REGIONAL SHOPPING CENTER,Commercial,82
502,COMMUNITY SHOPPING CENTER,Commercial,83
503,NEIGHBORHOOD SHOPPING CENTER,Commercial,84
504,STRIP SHOPPING CENTER,Commercial,85
505,40+ ACRES,Commercial,86
506,MULTI-OCCUPANCY    (RETAIL),Commercial,87
521,LUMBER YARD RETAIL,Commercial,88
522,PLUMBING/HEATING EQUIPMENT RETAIL,Commercial,89
523,PAINT/GLASS/WALLPAPER RETAIL,Commercial,90
524,ELECTRICAL SUPPLIES RETAIL,Commercial,91
525,"HARDWARE, FARM EQUIPMENT RETAIL",Commercial,92
531,DEPARTMENT STORES,Commercial,93
541,GROCERY RETAIL,Commercial,94
544,CANDY/CONFECTIONERY RETAIL,Commercial,95
545,DAIRY PRODUCTS RETAIL,Commercial,96
546,BAKERY RETAIL,Commercial,97
551,AUTO MOTOR VEHICLES RETAIL,Commercial,98
552,AUTO MOTOR PARTS RETAIL,Commercial,99
553,GASOLINE SERVICE STATION,Commercial,100
559,BOAT SALES,Commercial,101
561,MEN'S & BOYS' RETAIL,Commercial,102
562,WOMEN'S READY-TO-WEAR RETAIL,Commercial,103
563,WOMEN'S ACCESSORIES RETAIL,Commercial,104
564,CHILDREN'S & INFANT'S WEAR RETAIL,Commercial,105
565,FAMILY CLOTHING RETAIL,Commercial,106
566,SHOE RETAIL,Commercial,107
567,CUSTOM TAILORS,Commercial,108
568,FURRIER RETAIL,Commercial,109
569,OTHER APPAREL RETAIL TRADE,Commercial,110
571,FURNITURE/HOME FURNISHINGS RETAIL,Commercial,111
581,RESTAURANTS,Commercial,112
582,TAVERN/BAR,Commercial,113
591,DRUG STORE,Commercial,114
592,LIQUOR STORE,Commercial,115
593,"ANTIQUE SHOP, SECONDHAND STORE",Commercial,116
594,BOOKS/STATIONERY RETAIL,Commercial,117
595,"SPORTING GOODS SALES, BICYCLE SALES",Commercial,118
596,"FARM/GARDEN SUPPLIES, FEED STORE",Commercial,119
597,JEWELRY STORE,Commercial,120
598,"BOTTLE GAS SALES, FUEL OIL SALES",Commercial,121
599,OTHER GOODS/SERVICES RETAIL,Commercial,122
601,LOW RISE OFFICE BUILDING,Commercial,123
602,HIGH RISE OFFICE BUILDING,Commercial,124
603,OFFICE CONDOMINIUM,Commercial,125
604,ROW TYPE,Commercial,126
605,OFFICE/WAREHOUSE,Commercial,127
611,BANKING SERVICES,Commercial,128
612,"SAVINGS & LOAN, CREDIT BUREAU",Commercial,129
613,STOCK BROKER,Commercial,130
614,INSURANCE SERVICES,Commercial,131
615,REAL ESTATE/RELATED SERVICES,Commercial,132
621,LAUNDERING/DRY CLEANING,Commercial,133
623,BEAUTY/BARBER SHOP,Commercial,134
624,"FUNERAL HOME, CREMATORY/CEMETERY",Institution,135
631,ADVERTISING SERVICE,Commercial,136
633,DUPLICATING/MAILING/STNOGRAPHIC SERV,Commercial,137
634,DWELLING/BUILDING SERVICES,Commercial,138
635,NEWS (SYNDICATED SERVICE),Commercial,139
636,EMPLOYMENT SERVICES,Commercial,140
637,WAREHOUSING/STORAGE SERVICES,Industrial/Utility,141
639,OTHER BUSINESSES SERVICES,Commercial,142
641,MOTOR VEHICLE REPAIR SERVICES,Commercial,143
642,MOTOR VEHICLE AND OTHER SCRAP YARD,Commercial,144
649,OTHER REPAIR SERVICES,Commercial,145
650,PUBLIC WORKS FACILITY,Institution,146
651,MEDICAL/HEALTH SERVICES,Institution,147
652,LEGAL SERVICES,Commercial,148
659,OTHER PROFESSIONAL SERVICES,Commercial,149
